iter	Passed	Remaining
0	172	171893
1	185	92700
2	195	65007
3	206	51498
4	216	43180
5	227	37737
6	236	33515
7	245	30447
8	255	28146
9	264	26138
10	275	24780
11	285	23530
12	297	22573
13	305	21544
14	315	20704
15	323	19907
16	334	19354
17	361	19716
18	396	20456
19	404	19835
20	412	19236
21	423	18841
22	433	18399
23	442	17984
24	451	17611
25	461	17301
26	472	17024
27	483	16780
28	497	16650
29	507	16424
30	518	16193
31	531	16069
32	543	15912
33	552	15711
34	563	15531
35	574	15377
36	582	15156
37	593	15029
38	601	14826
39	612	14691
40	623	14584
41	633	14458
42	646	14397
43	673	14634
44	692	14691
45	701	14549
46	710	14405
47	718	14259
48	727	14112
49	737	14007
50	746	13883
51	754	13755
52	762	13617
53	770	13493
54	778	13376
55	786	13252
56	793	13125
57	801	13016
58	810	12920
59	818	12820
60	827	12734
61	835	12647
62	846	12585
63	860	12578
64	868	12494
65	878	12436
66	887	12353
67	895	12271
68	903	12187
69	911	12115
70	921	12055
71	942	12142
72	954	12122
73	969	12130
74	981	12102
75	991	12049
76	1007	12073
77	1024	12106
78	1032	12035
79	1040	11970
80	1047	11885
81	1056	11826
82	1060	11718
83	1068	11649
84	1076	11592
85	1085	11536
86	1094	11490
87	1102	11430
88	1112	11392
89	1123	11356
90	1132	11315
91	1141	11268
92	1152	11243
93	1162	11209
94	1170	11152
95	1178	11100
96	1190	11086
97	1200	11048
98	1210	11014
99	1221	10994
100	1232	10967
101	1241	10927
102	1249	10885
103	1260	10858
104	1279	10904
105	1294	10913
106	1319	11010
107	1338	11059
108	1348	11020
109	1357	10980
110	1368	10959
111	1378	10932
112	1386	10885
113	1403	10908
114	1411	10864
115	1421	10834
116	1429	10789
117	1438	10750
118	1446	10711
119	1454	10668
120	1463	10630
121	1470	10582
122	1481	10561
123	1490	10532
124	1500	10501
125	1509	10470
126	1517	10430
127	1525	10393
128	1534	10363
129	1543	10332
130	1551	10294
131	1562	10273
132	1570	10240
133	1581	10218
134	1589	10187
135	1599	10159
136	1607	10128
137	1615	10091
138	1623	10057
139	1632	10030
140	1644	10019
141	1649	9967
142	1669	10007
143	1677	9973
144	1686	9942
145	1693	9907
146	1701	9876
147	1709	9842
148	1718	9816
149	1727	9788
150	1735	9760
151	1745	9740
152	1752	9702
153	1764	9690
154	1773	9668
155	1781	9639
156	1796	9646
157	1804	9616
158	1812	9588
159	1823	9572
160	1829	9531
161	1837	9503
162	1844	9471
163	1854	9452
164	1870	9464
165	1885	9472
166	1902	9491
167	1913	9474
168	1922	9451
169	1930	9427
170	1940	9405
171	1949	9386
172	1958	9361
173	1967	9337
174	1977	9320
175	1987	9306
176	1997	9288
177	2006	9265
178	2017	9251
179	2026	9230
180	2034	9206
181	2042	9181
182	2053	9169
183	2062	9146
184	2070	9119
185	2078	9095
186	2088	9077
187	2096	9055
